ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
494132,1,10.05.2020,14.04.2020,120000,0,,,,,,05.04.2022,10.05.2020,1,2,2020
511404,3,11.10.2020,05.09.2020,26426.7,0,,,,,,05.04.2022,11.10.2020,1,3,2020
510718,1,10.10.2020,14.09.2020,27500,0,,,,,,05.04.2022,10.10.2020,1,2,2020
495338,1,10.06.2020,21.04.2020,53500,0,,,,,,05.04.2022,10.06.2020,1,2,2020
511060,1,10.10.2020,16.09.2020,42000,0,,,,,,05.04.2022,10.10.2020,1,2,2020
519803,1,11.12.2020,11.11.2020,2300,0,,,,,,05.04.2022,11.12.2020,1,1,2020
481175,1,10.02.2020,18.12.2019,80000,0,,,,,,05.04.2022,10.02.2020,1,3,2020
509767,1,10.10.2020,24.07.2020,4017,0,,,,,,05.04.2022,10.10.2020,1,2,2020
493605,1,10.05.2020,02.04.2020,31284,0,,,,,,05.04.2022,10.05.2020,1,2,2020
499335,1,20.07.2020,05.06.2020,150000,0,,,,,,05.04.2022,20.07.2020,1,2,2020
498436,1,20.07.2020,15.05.2020,76000,0,,,,,,05.04.2022,20.07.2020,1,2,2020
495774,1,10.06.2020,23.04.2020,132000,0,,,,,,05.04.2022,10.06.2020,1,2,2020
493986,1,10.05.2020,19.04.2020,55500,0,,,,,,05.04.2022,10.05.2020,1,2,2020
490341,1,10.04.2020,13.02.2020,22298,0,,,,,,05.04.2022,10.04.2020,1,1,2020
501217,1,10.08.2020,15.06.2020,5763.41,0,,,,,,05.04.2022,10.08.2020,1,3,2020
483762,4,11.02.2020,16.12.2019,663000,0,,,,,,11.02.2020,11.02.2020,1,4,2020
501404,1,10.08.2020,10.06.2020,2000,0,,,,,,05.04.2022,10.08.2020,1,1,2020
488633,1,11.03.2020,20.02.2020,68500,0,,,,,,05.04.2022,11.03.2020,1,1,2020
511446,1,11.10.2020,15.04.2020,3200,0,,,,,,05.04.2022,11.10.2020,1,1,2020
480597,1,07.02.2020,11.10.2019,169957.14,1,3,,,,,05.04.2022,07.02.2020,1,2,2020
507444,1,11.09.2020,25.03.2020,2142.4,0,,,,,,05.04.2022,11.09.2020,1,2,2020
490962,1,10.04.2020,27.02.2020,191000,0,,,,,,05.04.2022,10.04.2020,1,2,2020
511818,1,11.10.2020,29.06.2020,15256.82,0,,,,,,05.04.2022,11.10.2020,1,3,2020
513979,1,10.11.2020,21.09.2020,92000,0,,,,,,05.04.2022,10.11.2020,1,2,2020
486194,1,10.03.2020,03.06.2019,1900,0,,,,,,05.04.2022,10.03.2020,1,3,2020
487825,1,10.03.2020,29.01.2020,75840,0,,,,,,05.04.2022,10.03.2020,1,2,2020
515222,1,10.11.2020,30.09.2020,28000,0,,,,,,05.04.2022,10.11.2020,1,2,2020
487727,1,10.03.2020,12.12.2019,1500,0,,,,,,05.04.2022,10.03.2020,1,1,2020
487936,1,11.03.2020,30.12.2019,7000,0,,,,,,05.04.2022,11.03.2020,1,2,2020
497059,1,15.06.2020,20.05.2020,5490,1,4,,,,,05.04.2022,15.06.2020,1,2,2020
491177,1,10.04.2020,23.01.2020,4950.2,0,,,,,,05.04.2022,10.04.2020,1,3,2020
501330,1,10.08.2020,18.05.2020,127000,0,,,,,,05.04.2022,10.08.2020,1,2,2020
515747,1,11.11.2020,13.10.2020,100000,0,,,,,,05.04.2022,11.11.2020,1,2,2020
518464,1,10.12.2020,23.10.2020,25000,0,,,,,,05.04.2022,10.12.2020,1,2,2020
486294,1,10.03.2020,04.12.2019,45000,0,,,,,,05.04.2022,10.03.2020,1,1,2020
521377,1,28.12.2020,15.12.2020,327118.28,1,4,,,,,05.04.2022,28.12.2020,1,2,2020
515790,1,11.11.2020,14.10.2020,48000,0,,,,,,05.04.2022,11.11.2020,1,2,2020
512552,4,11.10.2020,13.07.2020,230000,0,,,,,,11.10.2020,11.10.2020,1,4,2020
518968,1,10.12.2020,30.10.2020,43000,0,,,,,,05.04.2022,10.12.2020,1,2,2020
510072,1,10.10.2020,25.08.2020,3000,0,,,,,,05.04.2022,10.10.2020,1,1,2020
498454,1,20.07.2020,16.05.2020,67500,0,,,,,,05.04.2022,20.07.2020,1,3,2020
