ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO
824615,2122,HUJE,KRANJ,711,43,,,1,,,,,,3,2023,1,,1,12.5,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.5,12.5, garažni parkirni prostor,,,450922.48,121687.07,2024
822541,1735,STOŽICE,LJUBLJANA,2412,1,,,1,,,,,,14,1999,1,,,66.9,1/1,,,,,0,,,33 - klet,pritličje,,66.9,66.9, klet,,,464047.46,105020.62,2024
812255,1115,SLOVENSKE KONJICE,SLOVENSKE KONJICE,847,4,,,1,SLOVENSKE KONJICE,CELJSKA CESTA,1,A,4,6,1880,1,,,14.9,1/1,,,,,0,,,10 - trgovski del stavbe,pritličje,,14.9,14.9," lokal, prodajalna",,,532553.1,133267.64,2024
814222,2454,MERČE,SEŽANA,284,1,,,1,,,,,,13,1796,1,,,79,337/1920,,,,,0,,,28 - pomožni kmetijski del stavbe,pritličje,,79,79, kmetijski prostor | kmetijski prostor | kmetijski prostor | kmetijski prostor | kmetijski prostor,,,415887.69,63724.93,2024
822981,2002,VRHNIKA,VRHNIKA,3261,1,,,1,VRHNIKA,ŠVABIČEVA ULICA,33,,,1,2012,1,,,229.9,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,229.9,166.9," bivalni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",,,443980,91680,2024
818566,2136,BREG OB SAVI,KRANJ,362,61,,,1,,,,,,4,2004,1,,,12.4,3/136,,,,,0,,,16 - garažno parkirno mesto,pritličje,,12.4,12.4, garažni parkirni prostor,,,452100.99,119941.6,2024
813132,1739,ZGORNJA ŠIŠKA,LJUBLJANA,7025,286,,,1,,,,,,3,2023,1,,1,12.8,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.8,12.8, garažni parkirni prostor,,,460079.67,104206.21,2024
823833,2636,BEŽIGRAD,LJUBLJANA,3403,112,,,1,LJUBLJANA,TOPNIŠKA ULICA,70,,112,2,1971,1,,,62.1,1/1,,,,,0,,,2 - stanovanje,nadstropje,,62.1,54.2," bivalni prostor | klet | odprta terasa, balkon, loža",,,462874.65,102412.33,2024
812259,1085,KOMPOLE,ŠTORE,675,1,,,1,,,,,,4,2012,1,,,153.9,1/7,,,,,0,,,16 - garažno parkirno mesto,pritličje,,153.9,147.9, garažni parkirni prostor,,,525896.18,119458.85,2024
808972,2524,TRNOVO,ILIRSKA BISTRICA,1084,55,,,1,ILIRSKA BISTRICA,GREGORČIČEVA CESTA,23,B,55,2,1970,1,,,29.1,1/1,,,,,0,,,2 - stanovanje,nadstropje,,29.1,29.1, bivalni prostor,,,440761.74,48142.41,2024
